Código do Pedido,Nome do destino,Código do serviço,Valor,Prazo Final
0012403611236,São Paulo/SP,GFL,10.42,3
0012403345005,São Paulo/SP,GFL,9.53,3
0012403476286,Mongaguá/SP,GFL,9.93,3
0012403307839,São Paulo/SP,MDLOGG,11.79,3
0012403626256,Contagem/MG,GFL,10.61,5
0012403707872,Carapicuíba/SP,GFL,9.19,3
0012403222221,São Paulo/SP,MDLOGG,8.75,5
0012402420640,São Paulo/SP,GFL,10.94,3
0012403419545,Caçapava/SP,GFL,9.79,3
0012403331655,Botucatu/SP,GFL,10.44,3
0012403880794,Boa Esperança do Sul/SP,GFL,9.63,3
0012403016961,Birigui/SP,GFL,9.49,3
0012403521717,Novo Hamburgo/RS,GFL,9.47,5
0012403036666,Campina da Lagoa/PR,GFL,10.85,7
0012403782393,Curitiba/PR,GFL,10.46,2
0012403418430,Curitiba/PR,GFL,10.73,2
0012403652475,Camaquã/RS,GFL,12.39,6
0012403764952,Brasília/DF,GFL,11.12,4
0012403681021,Macajuba/BA,MDLOGG,58.22,16
0012403109423,São Paulo/SP,GFL,10.22,3
0012403627124,Brasília/DF,GFL,11.35,4
0012403047282,São Paulo/SP,MDLOGG,9.14,5
0012403445418,Mauá/SP,GFL,10.6,3
0012403445418,Mauá/SP,GFL,10.6,2
0012403442017,Araxá/MG,GFL,12.39,6
0012403381475,Presidente Prudente/SP,GFL,10.95,3
0012403540244,Rio de Janeiro/RJ,GFL,11.43,3
0012403957537,Itapira/SP,GFL,11.58,3
0012403802290,São Lourenço/MG,GFL,13.41,8
0012403912223,Itu/SP,GFL,13.28,3
0012403522057,São Paulo/SP,MDLOGG,9.04,5
0012403850384,Castelo/ES,GFL,11.45,8
0012403251682,Belo Horizonte/MG,GFL,9.86,3
0012403524764,São Bernardo do Campo/SP,GFL,9.88,3
0012403191621,Pedro Canário/ES,GFL,12.35,8
0012403383650,Barreiras/BA,GFL,22.22,13
0012403948273,Maceió/AL,MDLOGG,15.05,10
0012403699139,Brasília/DF,GFL,11.5,4
0012403008248,Rio das Ostras/RJ,GFL,11.01,6
0012403254043,São Sebastião do Caí/RS,GFL,10.45,8
0012403509901,Rio de Janeiro/RJ,GFL,10.71,3
0012403299532,Jundiaí/SP,GFL,10.6,3
0012403200319,Rio de Janeiro/RJ,GFL,9.24,3
0012403712624,Canoas/RS,GFL,11.19,6
0012403904706,Getúlio Vargas/RS,GFL,11.86,7
0012403908007,Curitiba/PR,GFL,10.24,2
0012403286509,Artur Nogueira/SP,GFL,10.2,3
0012403178342,Olinda/PE,MDLOGG,17.49,8
0012403294372,Itapema/SC,GFL,9.3,6
0012403804049,São Paulo/SP,GFL,10.17,3
0012403276230,São Paulo/SP,GFL,10.05,3
0012403960107,Viana/ES,GFL,11.34,6
0012403193664,Marília/SP,GFL,9.49,3
0012403269027,Patrocínio/MG,GFL,10.78,7
0012403385706,Patrocínio/MG,GFL,10.78,7
0012403762824,São Paulo/SP,GFL,9.26,3
0012403616698,Rio de Janeiro/RJ,GFL,14.77,3
0012403254379,São Paulo/SP,GFL,8.42,3
0012403150652,Mogi Guaçu/SP,GFL,9.49,3
0012403292681,Parnamirim/RN,MDLOGG,28.11,6
0012403816203,Belo Horizonte/MG,GFL,9.95,3
0012403026963,Cotia/SP,GFL,9.88,3
0012403205086,Maracanaú/CE,MDLOGG,16.28,9
0012403014291,Paula Cândido/MG,GFL,10.74,7
0012403574571,Salvador/BA,MDLOGG,15.08,8
0012403172883,São Paulo/SP,MDLOGG,8.59,5
0012403792308,São Paulo/SP,GFL,10.53,3
0012403535132,São Bernardo do Campo/SP,GFL,10.25,3
0012403535132,São Bernardo do Campo/SP,GFL,10.25,2
0012403908154,Santos/SP,GFL,10.35,3
0012403436040,Ribeirão Preto/SP,GFL,8.88,3
0012403484561,Ribeirão Preto/SP,GFL,10.58,3
0012403434437,São Geraldo/MG,GFL,11.03,7
0012403769172,Caraguatatuba/SP,GFL,10.45,3
0012403680915,Bragança Paulista/SP,GFL,10.95,3
0012403368211,Ribeirão Preto/SP,GFL,9.14,3
0012403233949,Mauá/SP,GFL,8.39,3
0012403514355,Montenegro/RS,GFL,9.21,7
0012403319893,Recife/PE,GFL,15.18,8
0012403019959,Macapá/AP,MDLOGG,56.12,14
0012403670258,Linhares/ES,GFL,12.17,6
0012403207980,Patos de Minas/MG,GFL,10.78,6
0012403245425,Dom Pedro/MA,GFL,24.97,20
0012403220942,Vilhena/RO,GFL,35.89,15
0012403162519,Novais/SP,GFL,10.23,3
0012403976503,Santa Bárbara/MG,GFL,12.53,9
0012403664223,Duque de Caxias/RJ,GFL,10.61,3
0012403614335,Manaus/AM,MDLOGG,27.72,17
0012403583156,Barra do Cuieté/MG,MDLOGG,26.07,9
0012403553973,Rio de Janeiro/RJ,GFL,9.73,3
0012403174633,Porto Seguro/BA,GFL,21.2,13
0012403067657,Vila Velha/ES,GFL,9.37,4
0012403813067,Volta Redonda/RJ,GFL,11.07,6
0012403287192,Ibiassucê/BA,MDLOGG,73.54,15
0012403523873,Niterói/RJ,GFL,11.83,3
0012403530274,Curitiba/PR,GFL,8.93,2
0012403079280,Rio de Janeiro/RJ,GFL,9.57,3
0012403318051,São Francisco do Sul/SC,MDLOGG,28.5,9
0012403042301,Sapucaia do Sul/RS,GFL,9.08,6
0012403560988,São José/SC,GFL,12.86,4
0012403707897,Assis Chateaubriand/PR,GFL,10.54,7
0012403951726,Curitiba/PR,GFL,10.43,2
0012403396963,Florianópolis/SC,GFL,10.52,6
0012402105709,Ibema/PR,GFL,11.32,7
0012403497033,Bagé/RS,MDLOGG,19.92,7
0012403884450,Veranópolis/RS,MDLOGG,25.97,8
0012403331819,Curitiba/PR,GFL,10.22,2
0012403173436,Lages/SC,GFL,11.7,3
0012403350303,Erechim/RS,GFL,12.2,4
0012403040902,Curitiba/PR,GFL,10.42,2
0012403135399,Foz do Iguaçu/PR,GFL,10.58,6
0012403732743,Santa Maria/RS,GFL,11.86,3
0012403646847,Concórdia/SC,GFL,12.39,5
0012403697524,Tubarão/SC,GFL,11.93,3
0012403414340,Itajaí/SC,GFL,9.92,5
0012403111488,Campo Largo/PR,GFL,10.8,3
0012403974778,Palmas/TO,MDLOGG,18.91,12
0012403625929,Vitória da Conquista/BA,GFL,17.41,13
0012403767812,Figueirão/MS,MDLOGG,141.4,13
0012403530242,Sorocaba/SP,GFL,9.53,3